City|State short|State full|County|City alias|Latitude|Longitude
Rabun Gap|GA|Georgia|RABUN|Rabun Gap|34.9464937|-83.42995619999999
Atlanta|GA|Georgia|FULTON|Tuxedo|33.8464013|-84.36169679999999
Roswell|GA|Georgia|FULTON|Roswell|34.0232431|-84.3615555
Washington|GA|Georgia|WILKES|Washington|33.7367948|-82.7393089
Stockbridge|GA|Georgia|HENRY|Stockbridge|33.5442781|-84.23380929999999
Jonesboro|GA|Georgia|CLAYTON|Jonesboro|33.5215013|-84.3538128
Matthews|GA|Georgia|JEFFERSON|Matthews|33.2109785|-82.3076238
Ludowici|GA|Georgia|LONG|Ludowici|31.7079919|-81.7423357
Eastanollee|GA|Georgia|STEPHENS|Eastanollee|34.520378|-83.2554372
Jefferson|GA|Georgia|JACKSON|Jefferson|34.1170537|-83.5723876
Mcdonough|GA|Georgia|HENRY|Mc Donough|33.4473361|-84.1468616
Norcross|GA|Georgia|GWINNETT|Parkway|33.9350426|-84.184631
Crawfordville|GA|Georgia|TALIAFERRO|Crawfordville|33.5540209|-82.8959785
Waverly Hall|GA|Georgia|HARRIS|Waverly Hall|32.683469|-84.7382609
Hinesville|GA|Georgia|LIBERTY|Hinesville|31.846877|-81.5959453
Wadley|GA|Georgia|JEFFERSON|Moxley|32.9268239|-82.419609
Eastman|GA|Georgia|DODGE|Plainfield|32.1976729|-83.1776514
Swainsboro|GA|Georgia|EMANUEL|Dellwood|32.5973856|-82.33373759999999
Bloomingdale|GA|Georgia|CHATHAM|Bloomingdale|32.1324248|-81.2990018
Gordon|GA|Georgia|WILKINSON|Stevens Pottery|32.9668022|-83.2988295
Sautee Nacoochee|GA|Georgia|WHITE|Saute Nacoche|34.6839825|-83.67434999999999
Shady Dale|GA|Georgia|JASPER|Shady Dale|33.4006823|-83.5901713
Cartersville|GA|Georgia|BARTOW|Cartersville|34.1650972|-84.7999382
Pineview|GA|Georgia|WILCOX|Pineview|32.1101702|-83.501003
Jekyll Island|GA|Georgia|GLYNN|Brunswick|31.07349189999999|-81.4114142
Esom Hill|GA|Georgia|POLK|Esom Hill|33.9489901|-85.3877329
Rochelle|GA|Georgia|WILCOX|Rochelle|31.9510105|-83.4562744
Mc Intyre|GA|Georgia|WILKINSON|Mc Intyre|32.840368|-83.1776046
Saint Simons Island|GA|Georgia|GLYNN|St Simons Is|31.1595905|-81.3885517
Cochran|GA|Georgia|BLECKLEY|Empire|32.3868278|-83.35460979999999
Scotland|GA|Georgia|TELFAIR|Scotland|55.8277389|-4.2139345
Cusseta|GA|Georgia|CHATTAHOOCHEE|Cusseta|32.3061354|-84.77704849999999
Brooklet|GA|Georgia|BULLOCH|Brooklet|32.37962940000001|-81.6631659
Baxley|GA|Georgia|APPLING|Baxley|31.7782514|-82.3484618
Savannah|GA|Georgia|CHATHAM|Thunderbolt|32.0335445|-81.04983419999999
Warm Springs|GA|Georgia|MERIWETHER|Warm Springs|32.8904081|-84.6810381
Gordon|GA|Georgia|WILKINSON|Ivey|32.9070875|-83.2907147
Portal|GA|Georgia|BULLOCH|Aaron|32.5286094|-81.92428749999999
Buford|GA|Georgia|GWINNETT|Rest Haven|34.1331569|-83.97657219999999
Greenville|GA|Georgia|MERIWETHER|Greenville|33.048056|-84.7097927
Concord|GA|Georgia|PIKE|Concord|33.0912359|-84.4374232
Hortense|GA|Georgia|BRANTLEY|Hortense|31.3366088|-81.9562253
Coleman|GA|Georgia|RANDOLPH|Coleman|31.6729444|-84.8890905
Atlanta|GA|Georgia|FULTON|Sandy Springs|33.9304352|-84.3733147
Davisboro|GA|Georgia|WASHINGTON|Riddleville|32.9068227|-82.66568939999999
Cumming|GA|Georgia|FORSYTH|Cumming|34.2073196|-84.14019259999999
High Shoals|GA|Georgia|OCONEE|High Shoals|33.8206001|-83.50597499999999
Thomaston|GA|Georgia|UPSON|Thomaston|32.8881879|-84.3265854
Kingsland|GA|Georgia|CAMDEN|Kingsland|30.7999563|-81.68982609999999
Portal|GA|Georgia|BULLOCH|Portal|32.538222|-81.93233839999999
Gracewood|GA|Georgia|RICHMOND|Gracewood|33.3662417|-82.0211313
Donalsonville|GA|Georgia|SEMINOLE|Dville|31.0404625|-84.87909110000001
Thomson|GA|Georgia|MCDUFFIE|Thomson|33.4706927|-82.50457329999999
Dawsonville|GA|Georgia|DAWSON|Dawsonville|34.4212052|-84.1190804
Gainesville|GA|Georgia|HALL|Gainesville|34.2978794|-83.8240663
